Sara the Titan of Ether entered Dungeon Clues#November 8, 2025 at 08:02
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 07:43
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:42
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:42
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:42
Sara the Titan of Ether entered the Tombs#November 8, 2025 at 07:41
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 07:41
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 07:41
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:40
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:40
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:40
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:40
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:40
DeathspeakerDarq The Dark Knight entered Argentrock Castle#November 8, 2025 at 07:38
Sara the Titan of Ether entered the Tombs#November 8, 2025 at 07:36
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 07:34
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 07:34
Menelif the Elder Elementalist entered the Black Magic Guild#November 8, 2025 at 07:33
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 07:33
Menelif the Elder Elementalist entered Glacial Coast Village#November 8, 2025 at 07:33
DeathspeakerDarq The Dark Knight entered the Underworld#November 8, 2025 at 07:32
DeathspeakerDarq The Dark Knight entered the Underworld#November 8, 2025 at 07:32
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 07:32
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 07:32
DeathspeakerDarq The Dark Knight entered the Village of Ravendark#November 8, 2025 at 07:31
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 07:29
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 07:28
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 07:27
Konrad Curze the Legendary Duelist entered the City of Britain#November 8, 2025 at 07:26
Konrad Curze the Legendary Duelist entered the Bank of Britain#November 8, 2025 at 07:26
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 07:25
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 07:25
Menelif the Elder Elementalist entered the City of Furnace#November 8, 2025 at 07:24
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 07:24
Menelif the Elder Elementalist entered the City of Furnace#November 8, 2025 at 07:23
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:21
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:21
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:21
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:20
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:20
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 07:19
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 07:19
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 07:18
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 07:18
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 07:16
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:16
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:16
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:15
Konrad Curze the Legendary Duelist entered the City of Britain#November 8, 2025 at 07:15
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 07:15
Konrad Curze the Legendary Duelist entered the Cabin#November 8, 2025 at 07:15
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:12
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:12
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 07:12
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 07:12
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:12
Sara the Titan of Ether entered Dungeon Torment#November 8, 2025 at 07:07
Sara the Titan of Ether entered the Serpent Island#November 8, 2025 at 07:07
Sara the Titan of Ether entered the Serpent Island#November 8, 2025 at 07:07
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:05
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:05
Menelif the Elder Elementalist entered the City of Furnace#November 8, 2025 at 07:03
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:59
Sara the Titan of Ether entered the Halls of Ogrimar#November 8, 2025 at 06:59
Menelif the Elder Elementalist entered the Flooded Temple#November 8, 2025 at 06:59
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:58
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:58
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:58
Sara the Titan of Ether entered Dungeon Doom#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:56
Darknos the Grandmaster Swordsman entered the City of Britain#November 8, 2025 at 06:53
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:52
Menelif the Elder Elementalist entered Dungeon Wicked#November 8, 2025 at 06:52
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:51
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:51
Menelif the Elder Elementalist entered Mountainside Cavern#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Thieves Guild#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Cabin#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:49
Sara the Titan of Ether entered the Thieves Guild#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Cabin#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:47
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:47
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:46
Konrad Curze the Legendary Duelist entered the Thieves Guild#November 8, 2025 at 06:45
Konrad Curze the Legendary Duelist entered the Cabin#November 8, 2025 at 06:45
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:45
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:44
Menelif the Elder Elementalist entered the Great Plain Cave#November 8, 2025 at 06:44
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 8, 2025 at 06:44
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:43
Konrad Curze the Legendary Duelist entered the City of Britain#November 8, 2025 at 06:43
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Great Plain Cave#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Sosarian Pass#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:41
Menelif the Elder Elementalist entered the Sosarian Pass#November 8, 2025 at 06:40
Menelif the Elder Elementalist entered the Serpent Pass#November 8, 2025 at 06:40
