Konrad Curze the Legendary Duelist had slain Moloch the fiend#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain a yeti#November 8, 2025 at 03:47
Konrad Curze the Legendary Duelist had slain a frost spider#November 8, 2025 at 03:47
Konrad Curze the Legendary Duelist had slain an ice elemental#November 8, 2025 at 03:47
Konrad Curze the Legendary Duelist had slain Nizlpad of the icy veil#November 8, 2025 at 03:46
Konrad Curze the Legendary Duelist had slain a snow harpy#November 8, 2025 at 03:46
Konrad Curze the Legendary Duelist had slain a snow elemental#November 8, 2025 at 03:46
Konrad Curze the Legendary Duelist had slain an arctic ettin#November 8, 2025 at 03:46
Konrad Curze the Legendary Duelist had slain a snow elemental#November 8, 2025 at 03:46
Konrad Curze the Legendary Duelist had slain an ice elemental#November 8, 2025 at 03:42
Konrad Curze the Legendary Duelist had slain a snow elemental#November 8, 2025 at 03:42
Konrad Curze the Legendary Duelist had slain Wielgianth the rosescale wyrm#November 8, 2025 at 03:42
Konrad Curze the Legendary Duelist had slain a golden elemental#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain a valorite elemental#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Juliana the brass monk#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Nicola the warrior#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Nyle the brute#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Bryan the brass monk#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Cordeali the hunter#November 8, 2025 at 03:41
Konrad Curze the Legendary Duelist had slain Carthon the sorcerer of flame#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain a xorn#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain Mazrim the magician of the flame#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain Zutinas the imp#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain Catherine the knight#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain a xorn#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain Kalle the hunter#November 8, 2025 at 03:40
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:39
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain a phantom#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain a ghoul#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain Kalila the executioner#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain Elkan the executioner#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain a skeletal mage#November 8, 2025 at 03:38
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a skeletal mage#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain Mythran the wizard of death#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a phantom#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a bone magi#November 8, 2025 at 03:37
Konrad Curze the Legendary Duelist had slain a skeletal mage#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a gargoyle#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Galvin the warrior#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a stone gargoyle#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Yochika the samurai#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Quillan the magician of the flame#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Draenor the magician of flame#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Griffith the champion#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a brass serpent#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a gargoyle#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain Adiva the vanquisher#November 8, 2025 at 03:36
Konrad Curze the Legendary Duelist had slain a weed elemental#November 8, 2025 at 03:35
Konrad Curze the Legendary Duelist had slain a ghoul#November 8, 2025 at 03:34
Konrad Curze the Legendary Duelist had slain a bone demon#November 8, 2025 at 03:33
Konrad Curze the Legendary Duelist had slain a spectre#November 8, 2025 at 03:33
Konrad Curze the Legendary Duelist had slain Exulruteo the mephit#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a lesser demon#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain Pursan the fiend#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a demon#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a demonic ghost#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a ghost#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:31
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:30
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 03:30
Konrad Curze the Legendary Duelist had slain Ntipan the archfiend#November 8, 2025 at 03:29
Konrad Curze the Legendary Duelist had slain Forbrak the imp#November 8, 2025 at 03:29
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 03:29
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 03:29
Konrad Curze the Legendary Duelist had slain Pahralabon the mephit#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a demon#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain Huictiigara the imp#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a demon#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 03:28
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain Edralin the lich lord#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a spirit#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a wraith#November 8, 2025 at 03:27
Konrad Curze the Legendary Duelist had slain a bone knight#November 8, 2025 at 03:26
Konrad Curze the Legendary Duelist had slain a mummy#November 8, 2025 at 03:26
Konrad Curze the Legendary Duelist had slain a skeletal mage#November 8, 2025 at 03:26
Konrad Curze the Legendary Duelist had slain Sarahahemiel the quasit#November 8, 2025 at 03:26
Konrad Curze the Legendary Duelist had slain Hepholaas the Pit Fiend#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain a lesser demon#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain a lesser demon#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain Robrupezon the mephit#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain Elrakic the quasit#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain a brass serpent#November 8, 2025 at 03:25
Konrad Curze the Legendary Duelist had slain a reaper#November 8, 2025 at 03:23
Konrad Curze the Legendary Duelist had slain Aglasis of the dark forest#November 8, 2025 at 03:23
Konrad Curze the Legendary Duelist had slain a corpser#November 8, 2025 at 03:23
Konrad Curze the Legendary Duelist had slain a xorn#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain a stone gargoyle#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain a stone gargoyle#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain Ross the fighter#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain Elle the berserker#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain Simon the assassin#November 8, 2025 at 03:22
Konrad Curze the Legendary Duelist had slain Balagd the forest giant#November 8, 2025 at 03:21
Konrad Curze the Legendary Duelist had slain Talabril the drow magician of flame#November 8, 2025 at 03:19
Konrad Curze the Legendary Duelist had slain Sine the drow conjurer of flame#November 8, 2025 at 03:19
Konrad Curze the Legendary Duelist had slain G`eldven the drow wizard of fire#November 8, 2025 at 03:19
Konrad Curze the Legendary Duelist had slain Elkafein the drow hunter#November 8, 2025 at 03:19
Konrad Curze the Legendary Duelist had slain Kiaransaleefryn the drow mage of fire#November 8, 2025 at 03:19
Konrad Curze the Legendary Duelist had slain Pharvyr the drow sorcerer of flame#November 8, 2025 at 03:18
Konrad Curze the Legendary Duelist had slain Calinid the drow magician of flame#November 8, 2025 at 03:18
Konrad Curze the Legendary Duelist had slain Bergnolu the drow monk#November 8, 2025 at 03:18
Konrad Curze the Legendary Duelist had slain Vlonolin the drow conjurer of flame#November 8, 2025 at 03:18
Konrad Curze the Legendary Duelist had slain Larathree the drow mage of fire#November 8, 2025 at 03:18
