Sara the Titan of Ether entered Dungeon Doom#November 8, 2025 at 06:56
Menelif the Elder Elementalist entered the City of Montor#November 8, 2025 at 06:32
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:31
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:31
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:31
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:31
Menelif the Elder Elementalist entered the Village of Yew#November 8, 2025 at 06:31
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:31
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:30
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:30
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 06:30
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:30
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist entered the City of Embers#November 8, 2025 at 06:28
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:27
Sara the Titan of Ether entered the Ethereal Void#November 8, 2025 at 06:26
Sara the Titan of Ether entered Teardrop Cave#November 8, 2025 at 06:26
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:26
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:26
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:26
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:26
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 06:25
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:25
Menelif the Elder Elementalist entered the Thieves Guild#November 8, 2025 at 06:25
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:25
Sara the Titan of Ether entered the Azure Castle#November 8, 2025 at 06:24
Sara the Titan of Ether entered the Hidden Valley#November 8, 2025 at 06:23
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 06:22
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist entered the City of Embers#November 8, 2025 at 06:21
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:20
Menelif the Elder Elementalist entered the Lyceum#November 8, 2025 at 06:20
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:20
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 8, 2025 at 06:19
Konrad Curze the Legendary Duelist entered the Rockfall Grotto#November 8, 2025 at 06:19
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 06:18
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 06:18
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:18
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 8, 2025 at 06:16
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:15
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 06:13
Sara the Titan of Ether entered the Cave of the Ancient Wyrm#November 8, 2025 at 06:09
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:08
Sara the Titan of Ether entered Teardrop Cave#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Ethereal Void#November 8, 2025 at 06:08
Sara the Titan of Ether entered Teardrop Cave#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:57
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:46
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:46
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:18
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:18
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:17
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:17
Karlayos the Legendary Alchemist entered the Town of Devil Guard#November 8, 2025 at 04:58
Karlayos the Legendary Alchemist entered the City of Britain#November 8, 2025 at 04:57
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:58
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:46
