Karlayos the Grandmaster Alchemist had slain Chikchickeki the ratman#November 6, 2025 at 04:32
Konrad Curze the Legendary Duelist had slain a serpentar wizard#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a watcher#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a sphinx#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a tomb watcher#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a mummy#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a sphinx#November 6, 2025 at 02:08
Konrad Curze the Legendary Duelist had slain a serpyn#November 6, 2025 at 02:07
Konrad Curze the Legendary Duelist had slain a hell hound#November 6, 2025 at 02:07
Konrad Curze the Legendary Duelist had slain a serpentar#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a hell hound#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a mummy#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a sand vortex#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a serpyn#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a sand vortex#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a sphinx#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a serpyn#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a serpyn#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a gorgon#November 6, 2025 at 02:06
Konrad Curze the Legendary Duelist had slain a mummy#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist had slain a serpentar wizard#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist had slain a gorgon#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist had slain a sphinx#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist had slain a hell hound#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist had slain a night dracon#November 6, 2025 at 01:54
Raja Ampat the Legendary Archmage had slain Neely the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain Fatin the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain Tobey the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain Daniel the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain Theron the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain Marissa the black guard#November 6, 2025 at 00:32
Raja Ampat the Legendary Archmage had slain a huge lizard#November 6, 2025 at 00:16
Raja Ampat the Legendary Archmage had slain a harpy#November 6, 2025 at 00:06
Raja Ampat the Legendary Archmage had slain a deathvine#November 6, 2025 at 00:06
Raja Ampat the Legendary Archmage had slain Ckikicheki the ratman#November 6, 2025 at 00:05
Raja Ampat the Legendary Archmage had slain an ogre#November 6, 2025 at 00:04
Raja Ampat the Legendary Archmage had slain an ogre#November 6, 2025 at 00:04
Raja Ampat the Legendary Archmage had slain Ndron the evergreen wyrm#November 6, 2025 at 00:04
Raja Ampat the Legendary Archmage had slain an antaur worker#November 5, 2025 at 15:23
Raja Ampat the Legendary Archmage had slain Pazun the moss balron of hell#November 5, 2025 at 14:43
Raja Ampat the Legendary Archmage had slain Sylpha the princess of scorn#November 5, 2025 at 14:37
Raja Ampat the Legendary Archmage had slain Sylpha the princess of scorn#November 5, 2025 at 14:37
Raja Ampat the Legendary Archmage had slain an ophidian matriarch#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain an ophidian enforcer#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain a giant serpent#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain Hissis the lizardman#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain Tasahasath the lizardman#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain Tsytysah the lizardman#November 5, 2025 at 14:36
Raja Ampat the Legendary Archmage had slain an ophidian warrior#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain a naga#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain Htisthh the lizardman#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain Syslish the lizardman#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain Saisssmyss the lizardman#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain an ophidian apprentice mage#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain an ophidian warrior#November 5, 2025 at 14:35
Raja Ampat the Legendary Archmage had slain Stasah the lizardman#November 5, 2025 at 14:34
Raja Ampat the Legendary Archmage had slain Sicyth the lizardman#November 5, 2025 at 14:34
Raja Ampat the Legendary Archmage had slain a naga#November 5, 2025 at 14:34
Raja Ampat the Legendary Archmage had slain Cytsi the lizardman#November 5, 2025 at 14:34
Raja Ampat the Legendary Archmage had slain a naga#November 5, 2025 at 14:34
Raja Ampat the Legendary Archmage had slain Sergulath the ebony daemon#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain a giant serpent#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain a giant serpent#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain a naga#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain a naga#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain an ophidian enforcer#November 5, 2025 at 14:33
Raja Ampat the Legendary Archmage had slain a giant serpent#November 5, 2025 at 14:32
